"id","name","category","description","quantity","material","brand","price"
"1","Slim Fit Jean","Jeans","A classic pair of slim fit jeans with a modern twist. Made with high-quality denim and designed for a comfortable fit.","20","Denim","Zara","79.99"
"2","Skinny Jean","Jeans","Trendy skinny jeans that hug your curves. Perfect for a stylish and sleek look.","15","Denim","H&M","49.99"
"3","Bootcut Jean","Jeans","Timeless bootcut jeans that flatter any body shape. Crafted with stretch denim for all-day comfort.","10","Denim","Wrangler","89.99"
"4","Leather Biker Jacket","Jackets","A classic leather biker jacket that exudes timeless style and attitude. Made from genuine leather for durability.","10","Leather","Schott NYC","199.99"
"5","Denim Jacket","Jackets","A versatile denim jacket that adds a cool and casual touch to any outfit. Features a button-up front and multiple pockets.","15","Denim","Zara","89.99"
"6","Bomber Jacket","Jackets","A stylish bomber jacket that combines fashion and functionality. Features a ribbed collar, cuffs, and hem for a comfortable fit.","12","Polyester","Alpha Industries","129.99"
"7","Button-Up Oxford Shirt","Shirts","A classic button-up Oxford shirt that offers a timeless and polished look. Made from high-quality cotton for comfort and durability.","20","Cotton","Brooks Brothers","79.99"
"8","Flannel Plaid Shirt","Shirts","A cozy flannel plaid shirt perfect for a casual and laid-back style. Features a soft and warm fabric for chilly days.","15","Flannel","L.L.Bean","59.99"
"9","Printed Graphic Shirt","Shirts","A trendy printed graphic T-shirt that adds a pop of personality to your outfit. Made from soft and breathable cotton.","10","Cotton","Urban Outfitters","29.99"
"10","Wool Blend Overcoat","Coats","A sophisticated wool blend overcoat that keeps you warm and stylish during colder months. Features a tailored fit and a classic design.","10","Wool Blend","Calvin Klein","249.99"
"11","Parka Jacket","Coats","A versatile parka jacket designed for extreme weather conditions. Equipped with a hood, insulation, and waterproof features.","15","Nylon","Canada Goose","599.99"
"12","Trench Coat","Coats","A timeless trench coat that adds elegance to any outfit. Made from durable and water-resistant fabric with a belted waist.","8","Cotton","Burberry","899.99"
